prmca_pco_ofici	prmca_pco_moned	prmca_pco_produc	prmca_pnu_contr	prmoc_pco_ofici	prmoc_pco_moned	prmoc_pco_produ	prmoc_pnu_oper	prmoc_psa_actual
948	1	3	2404478	254	1	3	5944065	1049999.990000	
948	1	3	2404478	948	1	3	5938325	833333.360000	
948	1	3	2404478	254	1	3	5940877	3000000.000000	
948	1	3	2404478	948	1	3	5936429	1249999.970000	
948	1	3	2404478	254	1	3	5940508	999999.980000	
596	2	3	2404481	596	2	3	5934143	1321635.735400	
596	2	3	2404481	596	2	3	5943918	13685724.108000	
596	2	3	2404481	596	2	3	5951425	22402399.076000	
596	2	3	2404481	596	2	3	5933283	1168343.508600	
596	2	3	2404481	596	2	3	5942664	8096685.070400	
596	2	3	2404481	596	2	3	5937790	8153260.101800	
596	2	3	2404481	596	2	3	5945034	14288338.485800	
596	2	3	2404481	596	2	3	5946856	17612549.216400	
596	2	3	2404481	596	2	3	5939978	5581275.394800	
596	2	3	2404481	596	2	3	5938963	7788840.216400	
596	2	3	2404481	596	2	3	5942161	13221462.505200	
596	2	3	2404481	596	2	3	5935575	3198562.579800	
596	2	3	2404481	596	2	3	5945901	15875924.001400	
210	1	0	2404482	131	1	2	5915071	21300000.000000	
405	2	0	2404485	405	2	2	5923505	55318036.199400	
405	2	0	2404485	405	2	2	5926337	41289573.211200	
405	2	0	2404485	405	2	2	5927199	58001608.708200	
405	2	0	2404485	405	2	2	5923918	47698841.640200	
405	2	0	2404485	405	2	2	5933857	75363311.766000	
405	2	0	2404485	405	2	2	5928563	45688879.004000	
405	2	0	2404485	405	2	2	5931563	52199212.480200	
346	1	0	2404490	346	1	2	5916784	4032247.600000	
285	1	0	2404495	285	1	2	5906599	23492649.650000	
285	1	0	2404495	521	1	2	5923564	36003795.450000	
210	1	0	2404499	131	1	2	5921912	34000000.000000	
267	1	0	2404500	267	1	2	5933662	10257605.800000	
267	1	0	2404500	267	1	2	5907695	3312268.750000	
255	2	3	2404501	259	2	3	5941856	30892175.493000	
255	1	0	2404503	255	1	2	5902167	4285412.530000	
405	1	3	2404515	405	1	3	5926368	89333333.360000	
405	1	3	2404515	405	1	3	5930651	212000000.000000	
405	1	3	2404515	405	1	3	5925977	86666666.640000	
405	1	3	2404515	405	1	3	5923639	47166666.700000	
405	1	3	2404515	405	1	3	5922362	14000000.000000	
405	1	3	2404515	405	1	3	5932948	243333333.340000	
405	1	3	2404515	405	1	3	5921900	60583333.370000	
405	1	3	2404515	405	1	3	5929482	159627500.000000	
405	1	3	2404515	405	1	3	5933858	297000000.000000	
405	1	3	2404515	405	1	3	5924827	63869629.630000	
405	1	3	2404515	405	1	3	5927705	138000000.000000	
405	1	3	2404515	405	1	3	5935299	333000000.000000	
405	1	3	2404515	405	1	3	5932205	255000000.000000	
596	2	3	2404518	596	2	3	5940423	64873539.408400	
596	2	3	2404518	596	2	3	5943576	26479000.000000	
596	2	3	2404518	596	2	3	5945020	87380705.295800	
596	2	3	2404518	596	2	3	5947204	52958000.000000	
596	2	3	2404518	596	2	3	5941873	30892175.493000	
596	2	3	2404518	596	2	3	5946395	48544835.098600	
597	1	3	2404519	597	1	3	5947093	35400000.000000	
597	1	3	2404519	597	1	3	5934215	6666666.630000	
597	1	3	2404519	597	1	3	5938021	18833333.360000	
597	1	3	2404519	597	1	3	5942428	30275000.000000	
597	1	3	2404519	597	1	3	5945312	39166666.660000	
334	1	0	2404522	334	1	2	5900864	9728887.680000	
334	1	0	2404522	334	1	2	5915801	1238463.150000	
334	1	0	2404522	334	1	2	5900295	18419513.900000	
479	1	0	2404524	479	1	2	5900365	6512087.030000	
255	1	0	2404525	255	1	2	5900370	88800261.690000	
255	1	0	2404525	255	1	2	5900414	53518056.850000	
255	1	0	2404525	259	1	2	5943794	2718652.450000	
255	1	0	2404525	259	1	2	5937708	2362023.710000	
255	1	0	2404525	259	1	2	5946884	2695232.550000	
255	1	0	2404525	259	1	2	5932592	1857423.200000	
255	1	0	2404525	255	1	2	5920123	4454939.400000	
255	1	0	2404525	259	1	2	5927955	2996941.050000	
211	1	0	2404527	211	1	2	5900378	19675698.710000	
926	1	3	2404530	254	1	3	5936979	3750000.000000	
926	1	3	2404530	254	1	3	5947119	10000000.000000	
360	1	0	2404535	360	1	2	5900793	1899852.550000	
360	1	0	2404535	360	1	2	5900797	1379997.280000	
290	1	0	2404537	290	1	2	5900764	2400000.000000	
405	2	3	2404538	405	2	3	5935585	13901475.000000	
405	2	3	2404538	405	2	3	5946838	78157179.901400	
405	2	3	2404538	405	2	3	5940096	40865935.690200	
405	2	3	2404538	405	2	3	5936959	23169140.887400	
405	2	3	2404538	405	2	3	5941455	31509999.408400	
405	2	3	2404538	405	2	3	5943874	54723259.605600	
405	2	3	2404538	405	2	3	5951305	78218966.000000	
405	2	3	2404538	405	2	3	5938596	26937955.211200	
405	2	3	2404538	405	2	3	5942610	39541964.507000	
405	2	3	2404538	405	2	3	5945767	72375929.802800	
405	2	3	2404538	405	2	3	5944833	54811530.000000	
405	2	3	2404538	405	2	3	5934131	8376170.915400	
255	1	0	2404539	255	1	2	5908734	4167069.020000	
255	1	0	2404539	255	1	2	5900998	121062695.160000	
255	1	0	2404541	255	1	2	5901097	20890752.470000	
594	2	3	2404542	594	2	3	5951470	338931200.000000	
594	2	3	2404542	594	2	3	5938598	132659790.000000	
594	2	3	2404542	594	2	3	5937561	176526680.788800	
594	2	3	2404542	594	2	3	5943277	183587740.394400	
297	1	3	2404544	259	1	3	5941622	999999.980000	
297	1	3	2404544	259	1	3	5947207	15000000.000000	
562	1	3	2404546	562	1	3	5945457	6666666.660000	
562	1	3	2404546	562	1	3	5945213	6666666.660000	
562	1	3	2404546	562	1	3	5944447	3750000.000000	
562	1	3	2404546	562	1	3	5947315	20000000.000000	
562	1	3	2404546	562	1	3	5947460	20000000.000000	
562	1	3	2404546	562	1	3	5946339	13333333.330000	
562	1	3	2404546	562	1	3	5946538	13333330.000000	
562	1	3	2404546	562	1	3	5945642	5000000.000000	
562	1	3	2404546	562	1	3	5945755	5000000.000000	
562	2	3	2404547	562	2	3	5944892	794370000.000000	
562	2	3	2404547	562	2	3	5951311	794370000.000000	
131	1	3	2404548	131	1	3	5947247	21000000.000000	
651	1	3	2404549	669	1	3	5944597	216000000.000000	
651	1	3	2404549	405	1	3	5944605	57000000.000000	
342	1	0	2404550	342	1	2	5901435	12469791.820000	
342	1	0	2404550	342	1	2	5901437	88559418.410000	
405	2	3	2404552	405	2	3	5944085	441272540.295800	
594	2	3	2404554	594	2	3	5946679	550983860.098600	
594	2	3	2404554	594	2	3	5947517	423664000.000000	
594	2	3	2404554	594	2	3	5939910	452349595.690200	
210	1	0	2404556	261	1	2	5933045	43000000.000000	
210	1	0	2404556	261	1	2	5933760	21500000.000000	
327	1	0	2404557	327	1	2	5902025	12723989.910000	
327	1	0	2404557	327	1	2	5902029	15260738.640000	
131	1	3	2404562	131	1	3	5946035	1003055.570000	
131	1	3	2404562	131	1	3	5946036	1465625.010000	
131	1	3	2404562	131	1	3	5946037	1666666.680000	
131	1	3	2404562	131	1	3	5946038	334089.500000	
131	1	3	2404562	131	1	3	5945865	4166666.660000	
131	1	3	2404562	131	1	3	5946476	4583333.330000	
592	1	3	2404563	252	1	3	5944862	240000000.000000	
592	1	3	2404563	252	1	3	5944870	10000000.000000	
592	1	3	2404563	252	1	3	5944644	240000000.000000	
131	1	3	2404564	131	1	3	5945623	3173659.030000	
210	1	0	2404567	210	1	2	5924728	9360000.000000	
210	1	0	2404567	210	1	2	5944000	12200000.000000	
210	1	0	2404567	210	1	2	5916122	7200000.000000	
210	1	0	2404567	210	1	2	5930758	23120000.000000	
210	1	0	2404567	210	1	2	5911976	8333333.340000	
210	1	0	2404567	210	1	2	5943393	16600000.000000	
210	1	0	2404567	210	1	2	5942195	14000000.000000	
596	2	0	2404568	596	2	2	5915229	102488664.156000	
596	2	0	2404568	596	2	2	5911941	525238545.526400	
596	2	0	2404568	596	2	2	5917949	318295024.365200	
596	2	0	2404568	596	2	2	5906010	95913367.101200	
596	2	0	2404568	596	2	2	5903660	3074478421.726600	
596	2	0	2404568	596	2	2	5909410	98587476.015400	
596	2	0	2404569	596	2	2	5917947	166032952.468600	
596	2	0	2404569	596	2	2	5906018	48213042.637000	
596	2	0	2404569	596	2	2	5911950	264018730.279600	
596	2	0	2404569	596	2	2	5915230	51518045.501000	
596	2	0	2404569	596	2	2	5903661	1540401621.664400	
596	2	0	2404569	596	2	2	5909415	49556952.507200	
596	2	0	2404570	596	2	2	5911951	130601381.385400	
596	2	0	2404570	596	2	2	5915231	25485306.679600	
596	2	0	2404570	596	2	2	5909413	24515222.035600	
596	2	0	2404570	596	2	2	5903662	770200832.015400	
596	2	0	2404570	596	2	2	5917944	73645777.910000	
596	2	0	2404570	596	2	2	5906020	23850127.809400	
596	2	0	2404571	596	2	2	5909400	24515222.035600	
596	2	0	2404571	596	2	2	5903663	770200832.015400	
596	2	0	2404571	596	2	2	5906012	23850127.809400	
596	2	0	2404571	596	2	2	5917948	73645777.910000	
596	2	0	2404571	596	2	2	5911952	130601381.385400	
596	2	0	2404571	596	2	2	5915232	25485306.679600	
346	1	0	2404573	346	1	2	5912955	39259229.590000	
660	1	0	2404576	660	1	2	5920941	397556978.360000	
405	2	3	2404579	405	2	3	5942104	1588740000.000000	
562	2	3	2404585	562	2	3	5945359	79437000.000000	
562	2	3	2404585	562	2	3	5945363	66197500.000000	
562	2	3	2404585	562	2	3	5945524	52958000.000000	
562	2	3	2404585	562	2	3	5945538	79437000.000000	
562	2	3	2404585	562	2	3	5945424	72817250.000000	
562	2	3	2404585	562	2	3	5945598	26479000.000000	
562	2	3	2404585	562	2	3	5945601	52958000.000000	
250	1	0	2404586	259	1	2	5944240	30817642.550000	
250	1	0	2404586	250	1	2	5903850	280499997.350000	
562	2	3	2404587	562	2	3	5941182	37070589.408400	
562	2	3	2404587	562	2	3	5940839	34422710.591600	
297	2	3	2404588	259	2	3	5945635	7414120.000000	
297	2	3	2404588	259	2	3	5945719	6553552.500000	
297	2	3	2404588	259	2	3	5945882	4230025.545800	
297	2	3	2404588	259	2	3	5934826	2625816.514000	
297	2	3	2404588	259	2	3	5939959	10393007.500000	
297	2	3	2404588	259	2	3	5940044	4192520.690200	
297	2	3	2404588	259	2	3	5943154	10415080.394400	
297	2	3	2404588	259	2	3	5943335	11244741.605600	
297	2	3	2404588	205	2	3	5947489	17476140.000000	
297	2	3	2404588	259	2	3	5934792	2074205.986000	
297	2	3	2404588	259	2	3	5942132	9267650.000000	
297	2	3	2404588	259	2	3	5942159	9669256.993000	
297	2	3	2404588	259	2	3	5946425	12500296.348600	
297	2	3	2404588	259	2	3	5946561	17087783.098600	
297	2	3	2404588	259	2	3	5941339	2171288.591600	
297	2	3	2404588	259	2	3	5936965	1555625.362600	
297	2	3	2404588	259	2	3	5941197	6354960.000000	
297	2	3	2404588	259	2	3	5941260	5984264.591600	
297	2	3	2404588	259	2	3	5945534	7899564.802800	
297	2	3	2404588	259	2	3	5938154	3000414.927000	
297	2	3	2404588	259	2	3	5932993	21.183200	
297	2	3	2404588	259	2	3	5933325	595777.500000	
297	2	3	2404588	259	2	3	5938472	4236640.000000	
297	2	3	2404588	259	2	3	5938574	3680581.000000	
297	2	3	2404588	297	2	3	5951234	15728526.000000	
297	2	3	2404588	259	2	3	5933637	534012.584600	
297	2	3	2404588	259	2	3	5933843	993492.080000	
297	2	3	2404588	259	2	3	5933920	908568.631200	
297	2	3	2404588	259	2	3	5936346	3071532.225200	
297	2	3	2404588	259	2	3	5936711	2118288.225200	
297	2	3	2404588	259	2	3	5936865	1787332.500000	
297	2	3	2404588	259	2	3	5944692	10445960.204200	
297	2	3	2404588	259	2	3	5944713	5560584.704200	
297	2	3	2404588	259	2	3	5944768	5361997.500000	
297	2	3	2404588	259	2	3	5944866	4686788.295800	
660	1	0	2404590	131	1	2	5903997	191240395.040000	
345	2	0	2404592	345	2	2	5904011	84567867.604800	
651	2	3	2404594	669	2	3	5942257	21006664.507000	
651	2	3	2404594	669	2	3	5938205	6531500.788800	
651	2	3	2404594	669	2	3	5939903	18755970.690200	
651	2	3	2404594	669	2	3	5943445	33540059.605600	
651	2	3	2404594	669	2	3	5939095	27582279.309800	
651	2	3	2404594	405	2	3	5946580	36408625.000000	
651	2	3	2404594	669	2	3	5946430	32525040.098600	
651	2	3	2404594	669	2	3	5941814	16990700.493000	
651	2	3	2404594	669	2	3	5942087	25331585.493000	
651	2	3	2404594	651	2	3	5934110	6619750.000000	
651	2	3	2404594	405	2	3	5951229	79437000.000000	
651	2	3	2404594	405	2	3	5944775	39718505.295800	
651	2	3	2404594	669	2	3	5945819	24272420.197200	
405	2	3	2404599	405	2	3	5935143	61784350.986000	
405	2	3	2404599	405	2	3	5945599	980605624.507000	
405	2	3	2404599	405	2	3	5940174	160970241.809800	
290	1	0	2404600	290	1	2	5921274	59965722.400000	
290	1	0	2404600	290	1	2	5904566	139102647.540000	
290	1	0	2404600	252	1	2	5944683	30319705.150000	
597	2	3	2404603	597	2	3	5934109	6972783.915400	
597	2	3	2404603	597	2	3	5946091	77914457.500000	
131	2	3	2404607	131	2	3	5945694	79943543.270000	
131	2	3	2404607	131	2	3	5945695	30385626.927200	
131	2	3	2404607	131	2	3	5951445	21183200.000000	
594	1	3	2404610	256	1	3	5940641	3500000.020000	
594	1	3	2404610	256	1	3	5943192	3000000.000000	
594	1	3	2404610	256	1	3	5934627	1833333.300000	
594	1	3	2404610	256	1	3	5939309	2083333.310000	
594	1	3	2404610	256	1	3	5942049	500000.000000	
594	1	3	2404610	256	1	3	5945427	4333333.340000	
594	1	3	2404610	256	1	3	5945859	2666666.660000	
285	2	0	2404611	253	2	2	5930881	11705963.419200	
285	2	0	2404611	285	2	2	5905338	43608805.271600	
285	2	0	2404611	285	2	2	5905341	222301.796600	
285	2	0	2404611	253	2	2	5944927	20043093.697000	
949	2	3	2404614	256	2	3	5939911	5185483.190200	
949	2	3	2404614	256	2	3	5939977	6840420.690200	
949	2	3	2404614	256	2	3	5946929	3883584.901400	
949	2	3	2404614	256	2	3	5946853	16019795.000000	
949	2	3	2404614	256	2	3	5946645	4854485.098600	
949	2	3	2404614	256	2	3	5946646	1213622.598600	
949	2	3	2404614	256	2	3	5942047	9267650.000000	
949	2	3	2404614	256	2	3	5945812	16328720.197200	
949	2	3	2404614	256	2	3	5940768	5692974.408400	
949	2	3	2404614	256	2	3	5940742	9002870.591600	
949	2	3	2404614	256	2	3	5944890	11008326.502000	
949	2	3	2404614	256	2	3	5938128	3707060.000000	
949	2	3	2404614	256	2	3	5942660	9267650.000000	
949	2	3	2404614	256	2	3	5942786	2316912.500000	
949	2	3	2404614	256	2	3	5943588	3883579.605600	
949	2	3	2404614	256	2	3	5943917	8120219.605600	
949	2	3	2404614	256	2	3	5943951	14183502.829000	
949	2	3	2404614	256	2	3	5951528	3707060.000000	
949	2	3	2404614	256	2	3	5951399	3707060.000000	
562	2	3	2404618	562	2	3	5951502	127099200.000000	
562	2	3	2404618	562	2	3	5935636	35305377.465000	
297	2	3	2404619	259	2	3	5946732	22065835.098600	
297	2	3	2404619	259	2	3	5941801	3354015.493000	
297	2	3	2404619	259	2	3	5943260	10591600.000000	
297	2	3	2404619	259	2	3	5947005	42366400.000000	
297	2	3	2404619	259	2	3	5942474	6178424.507000	
297	2	3	2404619	259	2	3	5945712	35305329.802800	
297	2	3	2404619	259	2	3	5946154	35305335.098600	
297	2	3	2404619	259	2	3	5944439	30715645.295800	
297	2	3	2404619	259	2	3	5944755	26743795.295800	
405	1	3	2404620	405	1	3	5942724	25000000.000000	
405	1	3	2404620	405	1	3	5946387	20000000.000000	
405	1	3	2404620	405	1	3	5947200	20000000.000000	
405	1	3	2404620	405	1	3	5943229	18000000.000000	
405	1	3	2404620	405	1	3	5945419	35000000.000000	
405	1	3	2404620	405	1	3	5945421	20000000.000000	
549	2	0	2404624	285	2	2	5906494	65815254.451800	
285	2	0	2404625	285	2	2	5906777	19818461.748400	
285	2	0	2404625	285	2	2	5911018	10541348.153800	
285	2	0	2404625	285	2	2	5908253	5060534.085000	
285	2	0	2404625	285	2	2	5913769	22966136.986000	
937	1	3	2404629	256	1	3	5938319	3000000.000000	
937	1	3	2404629	256	1	3	5946957	8000000.000000	
937	1	3	2404629	256	1	3	5947047	7500000.000000	
377	1	3	2404639	256	1	3	5939657	12500000.000000	
377	1	3	2404639	256	1	3	5935592	1000000.000000	
377	1	3	2404639	256	1	3	5944689	10125000.000000	
377	1	3	2404639	256	1	3	5945659	25000000.000000	
377	1	3	2404639	256	1	3	5946046	8333333.340000	
225	1	3	2404641	225	1	3	5944059	15500000.000000	
225	1	3	2404641	225	1	3	5946965	25000000.000000	
225	2	3	2404642	225	2	3	5951410	105916000.000000	
250	1	0	2404643	250	1	2	5908027	973116.550000	
250	1	0	2404643	597	1	2	5941407	41628874.550000	
250	1	0	2404643	250	1	2	5909538	2130187.450000	
250	1	0	2404643	597	1	2	5926827	19108821.200000	
205	1	3	2404645	259	1	3	5943339	4922250.840000	
205	1	3	2404645	259	1	3	5946274	15226823.500000	
205	1	3	2404645	259	1	3	5946704	20051409.520000	
205	1	3	2404645	259	1	3	5941632	2383419.120000	
205	1	3	2404645	259	1	3	5947100	19463283.980000	
205	1	3	2404645	259	1	3	5947478	14427402.690000	
205	1	3	2404645	259	1	3	5942287	3768932.350000	
205	1	3	2404645	259	1	3	5943750	8989683.610000	
205	1	3	2404645	259	1	3	5942642	3089273.750000	
205	1	3	2404645	259	1	3	5951312	11337393.420000	
205	1	3	2404645	259	1	3	5951433	18706813.390000	
205	1	3	2404645	259	1	3	5944246	10000000.010000	
205	1	3	2404645	259	1	3	5944688	10000000.010000	
205	1	3	2404645	259	1	3	5944894	9499999.990000	
205	1	3	2404645	259	1	3	5946022	15782996.850000	
205	1	3	2404645	259	1	3	5945720	22350316.970000	
483	1	3	2404647	256	1	3	5951381	17200000.000000	
483	1	3	2404647	483	1	3	5945093	20000000.000000	
483	1	3	2404647	256	1	3	5939595	11041666.690000	
483	1	3	2404647	256	1	3	5933830	1666666.630000	
405	2	3	2404658	405	2	3	5945711	661975000.000000	
405	2	3	2404658	405	2	3	5945826	441316670.197200	
405	2	3	2404658	405	2	3	5945902	214038579.802800	
405	2	3	2404658	405	2	3	5935371	79437000.000000	
405	2	3	2404658	405	2	3	5935417	71846370.986000	
405	2	3	2404658	405	2	3	5936230	66197484.112600	
405	2	3	2404658	405	2	3	5940437	180057189.408400	
405	2	3	2404658	405	2	3	5951408	301860600.000000	
405	2	3	2404658	405	2	3	5944134	218451755.295800	
405	2	3	2404658	405	2	3	5933231	37070600.000000	
405	2	3	2404658	405	2	3	5942715	154460824.507000	
405	2	3	2404658	405	2	3	5938097	176526680.788800	
405	2	3	2404658	405	2	3	5936921	66197484.112600	
405	2	3	2404658	405	2	3	5941055	194620650.000000	
405	2	3	2404658	405	2	3	5946969	405128700.000000	
405	2	3	2404658	405	2	3	5947409	368058100.000000	
405	2	3	2404658	405	2	3	5943549	282442659.605600	
405	2	3	2404658	405	2	3	5939785	50751404.309800	
405	2	3	2404658	405	2	3	5943002	176526659.605600	
405	2	3	2404658	405	2	3	5943012	141221340.394400	
405	2	3	2404658	405	2	3	5946807	364086250.000000	
405	2	3	2404658	405	2	3	5941931	216245175.493000	
405	2	3	2404658	405	2	3	5939430	271409750.000000	
405	2	3	2404658	405	2	3	5934372	88263350.986000	
405	1	3	2404661	405	1	3	5936176	84909090.950000	
405	1	3	2404661	405	1	3	5933252	14575000.000000	
405	1	3	2404661	405	1	3	5944101	450000000.000000	
131	1	3	2404664	131	1	3	5917885	833231.550000	
594	1	3	2404666	594	1	3	5944638	120000000.000000	
594	1	3	2404666	594	1	3	5945580	149892716.450000	
594	1	3	2404666	594	1	3	5945778	180000000.000000	
594	1	3	2404666	594	1	3	5946530	100000000.000000	
594	1	3	2404666	594	1	3	5946270	100000000.000000	
594	1	3	2404666	594	1	3	5946358	115000000.000000	
594	1	3	2404666	594	1	3	5943624	120000000.000000	
594	1	3	2404666	594	1	3	5943862	100000000.000000	
594	1	3	2404666	594	1	3	5945461	285000000.000000	
215	1	3	2404670	259	1	3	5946246	6416666.670000	
215	1	3	2404670	259	1	3	5946641	38500000.000000	
215	1	3	2404670	259	1	3	5943484	17666666.680000	
651	1	3	2404672	669	1	3	5934264	4166666.630000	
651	1	3	2404672	669	1	3	5933536	4166666.630000	
921	2	3	2404673	256	2	3	5945930	5295800.000000	
921	2	3	2404673	256	2	3	5946187	7281725.000000	
921	2	3	2404673	256	2	3	5935719	2780295.000000	
921	2	3	2404673	256	2	3	5934702	2118320.000000	
921	2	3	2404673	256	2	3	5939028	2645522.185800	
921	2	3	2404673	256	2	3	5941596	3707060.000000	
921	2	3	2404673	256	2	3	5946592	5825380.000000	
921	2	3	2404673	256	2	3	5943105	4589700.394400	
921	2	3	2404673	256	2	3	5943553	4236640.000000	
921	2	3	2404673	256	2	3	5940074	3309875.000000	
921	2	3	2404673	256	2	3	5947237	5295800.000000	
921	2	3	2404673	256	2	3	5936896	2347914.113200	
921	2	3	2404673	256	2	3	5941075	3177480.000000	
921	2	3	2404673	256	2	3	5945244	10591600.000000	
921	2	3	2404673	256	2	3	5942351	3637224.285400	
921	2	3	2404673	256	2	3	5938512	2647900.000000	
921	2	3	2404673	256	2	3	5933811	926765.000000	
275	1	3	2404674	250	1	3	5933924	500000.000000	
297	1	3	2404677	259	1	3	5943996	18750000.010000	
483	1	3	2404695	256	1	3	5946473	4583333.330000	
483	1	3	2404695	256	1	3	5935880	137500.030000	
483	1	3	2404695	256	1	3	5935606	413333.300000	
483	1	3	2404695	256	1	3	5934859	260000.000000	
483	1	3	2404695	131	1	3	5936073	660000.000000	
483	1	3	2404695	256	1	3	5935751	242500.030000	
483	1	3	2404695	483	1	3	5946649	5500000.000000	
483	1	3	2404695	256	1	3	5945082	5833333.340000	
483	1	3	2404695	256	1	3	5945316	1291666.660000	
483	1	3	2404695	256	1	3	5941413	1700000.020000	
483	1	3	2404695	256	1	3	5937256	475000.000000	
483	1	3	2404695	483	1	3	5946924	5000000.000000	
483	1	3	2404695	256	1	3	5943129	5266666.680000	
483	1	3	2404695	483	1	3	5940179	1166666.690000	
483	1	3	2404695	256	1	3	5947134	4090000.000000	
483	1	3	2404695	256	1	3	5934108	63333.370000	
483	1	3	2404695	483	1	3	5934136	237916.630000	
483	1	3	2404695	256	1	3	5936801	550000.030000	
483	1	3	2404695	256	1	3	5940796	1650000.000000	
483	1	3	2404695	256	1	3	5935432	217500.000000	
483	1	3	2404695	483	1	3	5945968	666666.660000	
483	1	3	2404695	256	1	3	5933132	58333.370000	
483	1	3	2404695	256	1	3	5943916	2566666.680000	
483	1	3	2404695	256	1	3	5938728	1100000.000000	
483	1	3	2404695	256	1	3	5938662	766666.640000	
483	1	3	2404695	483	1	3	5951482	2500000.000000	
483	1	3	2404695	256	1	3	5951359	3000000.000000	
483	1	3	2404695	256	1	3	5942726	3750000.000000	
483	1	3	2404695	256	1	3	5938029	766666.640000	
934	1	3	2404703	256	1	3	5934935	1141666.700000	
934	1	3	2404703	256	1	3	5941059	4235000.020000	
934	1	3	2404703	256	1	3	5934104	250000.000000	
934	1	3	2404703	256	1	3	5947393	10140000.000000	
934	1	3	2404703	256	1	3	5939529	2254166.690000	
250	1	3	2404704	255	1	3	5951476	20000000.000000	
250	1	3	2404704	597	1	3	5946951	7500000.000000	
250	1	3	2404704	597	1	3	5946716	12500000.000000	
377	1	3	2404709	256	1	3	5933664	500000.000000	
377	1	3	2404709	256	1	3	5934798	833333.300000	
377	1	3	2404709	256	1	3	5934368	1000000.000000	
377	1	3	2404709	256	1	3	5935762	1000000.030000	
297	1	3	2404715	259	1	3	5936507	519948.900000	
297	1	3	2404715	259	1	3	5943479	4000000.000000	
255	1	3	2404720	259	1	3	5943430	31333333.320000	
255	1	3	2404720	259	1	3	5940506	4590000.000000	
255	1	3	2404720	259	1	3	5940334	3099999.980000	
562	1	3	2404732	562	1	3	5943343	6666666.680000	
562	1	3	2404732	562	1	3	5943440	6666666.680000	
562	1	3	2404732	562	1	3	5943128	6666666.680000	
562	1	3	2404732	562	1	3	5942950	11666666.680000	
562	1	3	2404732	562	1	3	5946301	16666666.670000	
562	1	3	2404732	562	1	3	5946643	12500000.000000	
562	1	3	2404732	562	1	3	5946719	12500000.000000	
562	1	3	2404732	562	1	3	5946515	12457627.120000	
562	1	3	2404732	562	1	3	5941630	3333333.350000	
562	1	3	2404732	562	1	3	5941740	2250000.000000	
562	1	3	2404732	562	1	3	5941755	4166666.650000	
562	1	3	2404732	562	1	3	5941811	2833333.350000	
562	1	3	2404732	562	1	3	5942113	3333333.350000	
562	1	3	2404732	562	1	3	5946264	16666666.670000	
562	1	3	2404732	562	1	3	5942041	5816326.550000	
562	1	3	2404732	562	1	3	5946436	12500000.000000	
562	1	3	2404732	562	1	3	5942859	6666666.680000	
562	1	3	2404732	562	1	3	5942712	2000000.000000	
562	1	3	2404732	562	1	3	5947245	35000000.000000	
562	1	3	2404732	562	1	3	5947282	15000000.000000	
562	1	3	2404732	562	1	3	5947334	10000000.000000	
562	1	3	2404732	562	1	3	5947095	30000000.000000	
562	1	3	2404732	562	1	3	5947126	30000000.000000	
562	1	3	2404732	562	1	3	5947431	10000000.000000	
562	1	3	2404732	562	1	3	5947372	15000000.000000	
562	1	3	2404732	562	1	3	5946966	13333333.340000	
562	1	3	2404732	562	1	3	5946925	8333333.330000	
562	1	3	2404732	562	1	3	5942531	2500000.000000	
562	1	3	2404732	562	1	3	5945269	16666666.660000	
562	1	3	2404732	562	1	3	5945207	20000000.000000	
562	1	3	2404732	562	1	3	5945464	13333333.340000	
562	1	3	2404732	562	1	3	5944916	12499999.990000	
562	1	3	2404732	562	1	3	5944967	10000000.010000	
562	1	3	2404732	562	1	3	5945080	10000000.010000	
562	1	3	2404732	562	1	3	5947470	20000000.000000	
562	1	3	2404732	562	1	3	5951402	30000000.000000	
562	1	3	2404732	562	1	3	5944112	6499999.990000	
562	1	3	2404732	562	1	3	5951286	15000000.000000	
562	1	3	2404732	562	1	3	5951340	30000000.000000	
562	1	3	2404732	562	1	3	5944052	8333333.320000	
562	1	3	2404732	562	1	3	5943810	8333333.320000	
562	1	3	2404732	562	1	3	5943954	5000000.000000	
562	1	3	2404732	562	1	3	5943584	6666666.680000	
562	1	3	2404732	562	1	3	5944344	7500000.000000	
562	1	3	2404732	562	1	3	5944434	7500000.000000	
562	1	3	2404732	562	1	3	5944245	12499999.990000	
562	1	3	2404732	562	1	3	5944548	12499999.990000	
562	1	3	2404732	562	1	3	5946109	6666666.670000	
562	1	3	2404732	562	1	3	5945895	16666666.660000	
562	1	3	2404732	562	1	3	5946033	30000000.000000	
562	1	3	2404732	562	1	3	5946060	26666666.660000	
562	1	3	2404732	562	1	3	5946083	16666666.660000	
562	1	3	2404732	562	1	3	5946020	16666666.660000	
562	1	3	2404732	562	1	3	5945577	20833333.340000	
562	1	3	2404732	562	1	3	5945657	10000000.000000	
562	1	3	2404732	562	1	3	5945761	16666666.660000	
562	1	3	2404732	562	1	3	5944636	12499999.990000	
562	1	3	2404732	562	1	3	5944829	15000000.000000	
562	1	3	2404732	562	1	3	5944717	15000000.000000	
205	1	3	2404734	259	1	3	5941734	15000000.000000	
205	1	3	2404734	259	1	3	5942720	25000000.000000	
562	2	3	2404735	562	2	3	5935208	8034867.197000	
513	2	3	2404746	562	2	3	5944273	38195332.595600	
513	2	3	2404746	562	2	3	5943632	2353686.535200	
513	2	3	2404746	562	2	3	5937309	5295800.000000	
513	2	3	2404746	562	2	3	5941266	7221554.120400	
